CreditRisk,ID,CreditScore,PaymentDelays,EmployedMonths,DebtRatio,CreditAmount,Liquidity,CreditLines
ja,311882,551,5,29,4.287,230064,2001,4
ja,777121,445,10,17,9.733,95784,2383,7
ja,532241,542,15,25,4.113,64153,3172,5
ja,202579,510,10,17,6.253,114200,3950,4
ja,279606,438,7,14,4.689,281265,2541,4
ja,529539,463,9,10,6.134,65623,3821,5
nein,430566,692,0,62,1.45,302754,15347,2
nein,284587,753,2,46,1.69,351399,14016,3
ja,420472,501,15,12,4.79,175572,4430,10
nein,328211,578,4,22,2.44,308800,4130,9
nein,665825,528,8,17,3.659,72200,7964,9
nein,965000,665,1,21,2.18,152317,6173,2
nein,272483,781,0,27,1.87,300428,12669,4
nein,143521,770,2,49,1.8,261030,14728,3
nein,627852,605,4,15,3.633,303932,5921,7
ja,177519,511,9,27,7.437,244342,1390,10
nein,969952,672,1,21,2.46,133915,12448,3
nein,617856,782,3,14,1.79,78869,11675,3
nein,564313,785,0,72,1.13,65963,11779,2
nein,442166,662,1,10,1.99,116650,16819,1
nein,198335,634,3,7,3.809,145955,2099,5
nein,261614,527,6,7,4.651,215010,7022,7
ja,573476,477,12,20,5.753,47411,3208,10
nein,773357,789,1,55,0.7,277478,9488,2
nein,480237,631,4,8,2.032,145143,5708,4
nein,166334,667,1,60,2.12,224150,18562,5
nein,744399,552,7,16,3.069,46598,4057,7
nein,863682,526,7,26,4.412,296511,2711,7
nein,245839,804,1,25,0.62,373976,24214,3
nein,367387,762,1,48,2.12,203272,8208,5
ja,254541,470,6,28,3.023,102104,2162,9
nein,377158,716,0,37,2.12,347830,17880,3
ja,741192,436,22,9,11.351,211921,2290,12
nein,179857,524,4,37,2.442,122226,3734,5
ja,493890,427,5,21,3.79,83880,4334,7
nein,198594,766,2,45,2.03,278554,12640,5
nein,651717,696,3,17,1.5,99009,13362,5
nein,198438,617,2,20,3.476,216865,7705,4
nein,260330,777,1,15,0.73,143477,15638,2
nein,327539,542,6,14,4.347,255839,7732,4
nein,436823,630,8,27,2.215,156022,3939,4
nein,453687,722,0,21,1.81,145238,10477,1
nein,356678,800,1,82,1.26,401910,14510,4
ja,687930,458,4,12,8.7,183081,2645,4
nein,771933,562,5,14,4.703,174937,1970,3
nein,826788,803,1,56,1.78,62105,21839,3
ja,875388,430,13,26,3.7,262915,830,5
nein,977851,543,2,9,3.669,249405,3138,3
ja,498325,542,7,20,8.408,200112,3925,7
ja,799420,423,7,20,6.862,267562,4923,10
nein,225197,537,4,40,4.94,84835,7029,7
nein,950344,678,0,38,1.33,206283,4758,3
nein,573890,753,0,40,2.54,84996,8510,5
nein,750467,618,5,37,3.71,253644,3452,4
nein,327317,579,3,17,2.396,43839,2252,5
ja,714140,459,13,13,5.399,242331,3318,10
nein,515766,534,2,31,2.862,236773,1871,7
nein,678272,558,4,33,2.706,122515,3966,8
ja,166748,464,10,4,8.979,137320,4493,6
ja,592280,506,11,3,3.795,149853,1509,8
nein,482183,727,3,5,1.4,89814,5121,3
ja,765550,535,13,8,4.669,57462,3999,7
nein,897322,698,1,22,2.48,58739,4240,3
nein,264981,730,3,16,1.76,228682,11643,2
ja,781565,399,12,12,10.032,128352,1891,8
nein,606088,604,5,7,4.453,227819,2998,9
nein,426874,632,3,22,3.75,150948,8426,8
nein,676568,535,4,9,2.728,194793,3987,8
ja,374226,483,5,22,5.925,106748,1428,7
nein,536058,627,7,16,4.685,280018,7959,5
nein,328760,675,3,33,1.2,66325,15854,2
nein,868754,697,2,46,1.89,214101,6155,4
nein,673571,522,8,23,3.639,249903,2799,6
ja,815061,458,4,12,6.815,218548,1423,7
nein,698370,519,4,24,3.846,229439,6755,4
ja,390285,489,9,6,7.591,266539,1418,6
nein,497940,571,4,34,4.323,307815,3672,7
ja,640736,459,10,14,3.834,62412,4926,4
nein,645980,611,4,27,4.713,187723,4841,8
nein,845057,612,3,22,3.768,123338,8514,6
nein,365142,633,5,35,3.569,258427,2253,7
nein,648789,671,2,28,2.3,210424,19653,6
nein,202371,725,2,24,1.1,146407,10641,6
nein,908905,760,0,44,1.66,132044,13718,5
nein,269389,695,2,51,1.44,310129,15722,6
nein,738070,726,0,41,2.92,58111,13061,4
ja,343661,424,4,13,3.484,198940,3215,4
nein,225465,734,3,50,1.19,81159,6584,2
ja,297739,502,8,29,7.335,200042,3530,5
nein,414207,662,3,58,2.0,289524,10740,4
nein,889404,775,1,102,1.44,411583,22856,3
ja,334952,510,4,23,9.642,278369,4386,5
nein,737072,625,8,8,2.047,66629,2039,3
ja,530309,438,15,5,7.894,101966,945,5
ja,510750,511,4,5,8.64,42658,3648,4
nein,425474,823,0,76,0.25,302845,24699,1
ja,872263,451,15,21,3.362,52330,1223,9
nein,263410,610,5,14,3.512,132868,3687,9
